,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,33137.5,970.8843369483948,298,217,1.3732718894009217,1.9514447378347792,28.445609829701223,69.6725845336914,71.53425598144531,65.82372665405273,100.08612715484637,99.47349088590254,98.25544303561126,24.184389896709764,0.9958818058298962,0.8206080094824229,4.572274395296054
0,90452.0,1536.6559782028198,480,341,1.4076246334310851,1.8095785610047317,26.105686942759313,99.88056564331055,104.43048858642578,93.48847579956055,98.33430551741787,96.38685409064361,98.90439079545972,48.890874457806426,0.9959845395034583,0.6306889455116749,7.6171124606264895
0,13561.0,520.1320303678513,203,103,1.970873786407767,1.5418479463166432,19.949659244494015,35.41404724121094,35.86600875854492,34.77827453613281,80.31439656344804,79.90606268266254,79.30760507060455,12.200861602924267,0.9955708316928831,0.9151868068580298,2.329923634659429
0,62307.5,1283.4183883666992,311,396,0.7853535353535354,1.9765838783453036,26.43602711708503,107.73258209228516,109.62424087524414,97.96109390258789,102.88855984006878,101.83397213680941,100.82369594656114,19.43616294998894,0.9965639879734046,0.7283777866658996,6.230782138345873
0,29572.0,792.8427066802979,292,164,1.7804878048780488,1.619369674015961,21.256579113219964,36.95362854003906,38.08766555786133,33.84943771362305,76.27818473607681,77.06607704140623,72.80612881551377,13.442764568736811,0.9960544371070426,0.8795547569143009,2.8931666793478445
0,76770.0,1364.4894580841064,408,304,1.3421052631578947,1.6156311059007424,24.25207087693967,79.8438606262207,83.4101676940918,77.42420959472656,97.73249410494817,96.85958469012414,97.67528080576415,49.4286561107865,0.9957808057487133,0.6902302115022677,6.4561092491841485
0,25864.0,764.9848420619965,152,294,0.5170068027210885,1.7278069904113826,22.626113848771176,57.49821853637695,57.87381362915039,53.62016677856445,95.6069012271398,95.05714751316134,92.12370215789406,10.457786553426141,0.9963192371624338,0.876440812229395,3.237028469256603
0,29751.5,765.5706297159195,170,275,0.6181818181818182,1.5713493437305681,19.699792920815067,46.462589263916016,47.49726104736328,43.95224380493164,86.76160551407057,86.39627162238891,84.69813082681071,18.608014841239786,0.9966186043512962,0.8563392408774042,3.4647433144757427
0,70225.5,1295.8447949886322,311,427,0.7283372365339579,1.8910082519882379,23.91173765511289,110.42515182495117,115.90159225463867,103.49040222167969,105.26196437444297,104.63288954245122,103.78053319469471,22.017976082418443,0.9963666638011973,0.7031568087793332,6.471810002885717
0,86504.0,1390.3960909843445,429,355,1.208450704225352,1.7605544252288912,22.34811442042617,98.81106567382812,105.73130798339844,95.4334945678711,100.18471230440399,98.4569000292253,101.29672904545707,54.88451140631999,0.995596101305655,0.6331000744303389,7.64113232183248
